date,unit_id,source,daily_yield_kwh,installed_kw,full_load_hours,monthly_yield,rolling_mean_7,rolling_std_7,z_score,fleet_avg_yield,pct_dev_from_fleet,day_change_pct,lag_1,lag_7,ratio_to_rollmean,performance_ratio,rule_anomaly,iso_pred,ml_anomaly,anomaly_flag,explanation
2025-08-21,Bissell-INV-1,Bissell,42.50207,7.6,,,43.447280000000006,1.3367288012906748,1.3596523343040061,39.125460000000004,8.630211631796016,-4.258422990014754,44.39249,,0.9782446679981291,5.592377630843109,0,1,0,0,Normal Operation
2025-08-22,Bissell-INV-1,Bissell,50.78082,7.6,,,45.89179333333334,4.3382436831779385,1.8715630487927826,46.79933,8.507579061313326,19.47846304897618,42.50207,,1.1065337898227001,6.681686841226094,0,1,0,0,Normal Operation
2025-08-23,Bissell-INV-1,Bissell,56.00988,7.6,,,48.421315,6.175825851789644,2.194898315675426,50.92786,9.978860293560757,10.297313040632282,50.78082,,1.1567195149252614,7.369721051661879,0,1,0,0,Normal Operation
2025-08-24,Bissell-INV-1,Bissell,56.03522,7.6,,,49.944096,6.340341361750954,2.196465196847722,51.052533333333336,9.759920499999478,0.04524201801539007,56.00988,,1.1219588397170717,7.373055262187757,0,1,0,0,Normal Operation
2025-08-25,Bissell-INV-1,Bissell,52.9695,7.6,,,50.44833,5.80391716234475,2.006898545406075,48.074513333333336,10.182082619587982,-5.471059094619434,56.03522,,1.0499752915299678,6.969671051714517,0,1,0,0,Normal Operation
2025-08-26,Bissell-INV-1,Bissell,49.55218,7.6,,,50.320308571428576,5.309043080067654,1.7955909539415682,44.54311666666666,11.245426247798594,-6.451486232643311,52.9695,,0.9847352173661065,6.520023683352629,0,1,0,0,Normal Operation
2025-08-27,Bissell-INV-1,Bissell,51.34706,7.6,,,51.31381857142857,4.620991617890496,1.9065761030548543,46.85271,9.59250809591179,3.622201888998622,49.55218,44.39249,1.0006478065459992,6.756192104374185,0,1,0,0,Normal Operation
2025-08-28,Bissell-INV-1,Bissell,50.30804,7.6,,,52.42895714285714,2.6702471986048564,1.842329028246685,46.11939666666666,9.082172872981031,-2.023523839534336,51.34706,42.50207,0.95954683710306,6.619478946497437,0,1,0,0,Normal Operation
2025-08-29,Bissell-INV-1,Bissell,48.12444,7.6,,,52.04947428571428,3.0980042427712267,1.7073076498794568,43.53034,10.553788460863066,-4.340459298354693,50.30804,50.78082,0.924590318336488,6.332163157061558,0,1,0,0,Normal Operation
2025-08-30,Bissell-INV-1,Bissell,46.90045,7.6,,,50.748127142857136,3.0702575543142623,1.6316230845251316,42.55417666666667,10.213505873409828,-2.5433854399136924,48.12444,56.00988,0.9241809036035947,6.171111841293275,0,1,0,0,Normal Operation
2025-08-31,Bissell-INV-1,Bissell,47.54207,7.6,,,49.53482,2.182488665942319,1.6712972083518314,43.47122666666667,9.364454710364031,1.3680465752460957,46.90045,56.03522,0.959770722878174,6.255535525492693,0,1,0,0,Normal Operation
2025-09-01,Bissell-INV-1,Bissell,30.93029,7.6,,,46.38636142857143,6.994301380984933,0.6441194135482229,28.221166666666665,9.59961494588815,-34.941221532844494,47.54207,52.9695,0.6667970723886495,4.069774999464503,1,1,0,1,Sharp drop from yesterday (-35%)
2025-09-02,Bissell-INV-1,Bissell,42.18013,7.6,,,45.333211428571424,6.993182537232084,1.3397453996311968,38.25787666666667,10.25214589770527,36.371595610645734,30.93029,49.55218,0.9304465461382551,5.550017104532892,0,1,0,0,Normal Operation
2025-09-03,Bissell-INV-1,Bissell,33.55056,7.6,,,42.79085428571428,7.646862680740086,0.8061419758738767,30.12877,11.357217702171134,-20.458851122554634,42.18013,51.34706,0.7840591303739591,4.414547367840191,0,1,0,0,Normal Operation
2025-09-04,Bissell-INV-1,Bissell,49.82169,7.6,,,42.72137571428571,7.5689919190467805,1.812255916244074,45.79528333333334,8.792186385814997,48.49734251827689,33.55056,50.30804,1.1662005065575123,6.555485525453226,0,1,0,0,Normal Operation
2025-09-05,Bissell-INV-1,Bissell,49.01516,7.6,,,42.84862142857143,7.6816134229783515,1.7623846979373694,44.39792,10.399676381001646,-1.6188330825389396,49.82169,48.12444,1.1439145149760366,6.449363157046137,0,1,0,0,Normal Operation
2025-09-06,Bissell-INV-1,Bissell,44.43638,7.6,,,42.496611428571434,7.519745052290527,1.4792590399229442,40.405813333333334,9.975214787328243,-9.341558815680706,49.01516,46.90045,1.0456452527666422,5.84689210449383,0,1,0,0,Normal Operation
2025-09-07,Bissell-INV-1,Bissell,25.26526,7.6,,,39.314209999999996,9.485501759699746,0.29382624671743873,22.97503,9.968343892914689,-43.14284826981856,44.43638,47.54207,0.6426495661328908,3.324376315352056,1,1,0,1,Sharp drop from yesterday (-43%) | Only 64% of 7-day avg
